"ploidy_1","ploidy_2","ploidy_3","ploidy_4"
27,382,13,73
17,302,10,166
15,171,15,294
5,108,11,371
2,39,8,446
2,23,10,460
1,11,3,480
0,17,4,474
0,8,3,484
0,20,6,469
0,8,4,483
0,15,3,477
1,14,2,478
2,7,2,484
0,4,2,489
0,4,1,490
0,0,5,490
0,4,0,491
0,0,0,495
0,6,0,489
0,14,2,479
0,17,2,476
0,3,1,491
0,10,2,483
0,12,2,481
1,3,7,484
0,1,3,491
0,1,3,491
0,13,0,482
0,4,1,490
0,5,2,488
1,6,4,484
0,3,1,491
0,7,1,487
2,6,1,486
0,3,0,492
0,5,4,486
0,20,0,475
0,5,4,486
1,14,5,475
0,26,2,467
0,16,3,476
1,17,0,477
1,10,1,483
0,4,3,488
0,9,1,485
0,13,1,481
3,9,4,479
0,12,0,483
0,12,7,476
0,11,2,482
0,11,2,482
0,16,6,473
0,16,7,472
0,15,0,480
0,10,3,482
0,8,2,485
0,10,2,483
2,19,1,473
0,8,9,478
0,5,9,481
0,3,4,488
0,0,4,491
0,1,2,492
0,0,1,494
0,7,2,486
0,15,1,479
0,0,1,494
0,5,3,487
0,1,2,492
0,0,0,495
0,1,0,494
0,10,1,484
0,18,4,473
0,11,0,484
0,4,5,486
0,8,3,484
0,7,2,486
1,6,1,487
2,11,2,480
0,16,1,478
0,7,4,484
0,1,0,494
0,12,2,481
0,13,2,480
0,2,2,491
0,5,3,487
0,10,1,484
1,9,2,483
0,9,1,485
0,22,3,470
0,10,6,479
0,11,2,482
0,3,0,492
0,6,3,486
0,6,2,487
0,18,1,476
1,11,0,483
0,12,3,480
0,7,6,482
